Aplicativo,Tamanho,Resultado Médio,Desvio Padrão,IC Inferior,IC Superior
original_mgpu_4.CUDA.ip-10-20-2-60.x,88,1310.00,0,1310.00,1310.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,120,1951.00,0,1951.00,1951.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,152,2643.00,0,2643.00,2643.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,184,2860.00,0,2860.00,2860.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,216,3620.00,0,3620.00,3620.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,248,3909.00,0,3909.00,3909.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,280,4730.00,0,4730.00,4730.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,312,4966.00,0,4966.00,4966.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,344,5697.00,0,5697.00,5697.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,376,5943.00,0,5943.00,5943.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,408,6635.00,0,6635.00,6635.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,440,7267.00,0,7267.00,7267.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,472,7285.00,0,7285.00,7285.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,504,7703.00,0,7703.00,7703.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,536,7852.00,0,7852.00,7852.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,568,7989.00,0,7989.00,7989.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,600,8412.00,0,8412.00,8412.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,632,8537.00,0,8537.00,8537.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,664,8602.00,0,8602.00,8602.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,696,8732.00,0,8732.00,8732.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,728,8532.00,0,8532.00,8532.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,760,8990.00,0,8990.00,8990.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,792,9232.00,0,9232.00,9232.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,824,8887.00,0,8887.00,8887.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,856,9355.00,0,9355.00,9355.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,888,9141.00,0,9141.00,9141.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,920,9307.00,0,9307.00,9307.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,952,9314.00,0,9314.00,9314.00
original_mgpu_4.CUDA.ip-10-20-2-60.x,984,9531.00,0,9531.00,9531.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,88,685.00,0,685.00,685.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,120,1019.00,0,1019.00,1019.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,152,1347.00,0,1347.00,1347.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,184,1615.00,0,1615.00,1615.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,216,2052.00,0,2052.00,2052.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,248,2392.00,0,2392.00,2392.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,280,2843.00,0,2843.00,2843.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,312,3169.00,0,3169.00,3169.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,344,3641.00,0,3641.00,3641.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,376,3994.00,0,3994.00,3994.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,408,4439.00,0,4439.00,4439.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,440,4853.00,0,4853.00,4853.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,472,5023.00,0,5023.00,5023.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,504,5424.00,0,5424.00,5424.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,536,5828.00,0,5828.00,5828.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,568,6109.00,0,6109.00,6109.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,600,6377.00,0,6377.00,6377.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,632,6715.00,0,6715.00,6715.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,664,6930.00,0,6930.00,6930.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,696,7355.00,0,7355.00,7355.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,728,7308.00,0,7308.00,7308.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,760,7781.00,0,7781.00,7781.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,792,8098.00,0,8098.00,8098.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,824,8259.00,0,8259.00,8259.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,856,8579.00,0,8579.00,8579.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,888,8725.00,0,8725.00,8725.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,920,9091.00,0,9091.00,9091.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,952,9116.00,0,9116.00,9116.00
original_mgpu_8.CUDA.ip-10-20-2-60.x,984,9459.00,0,9459.00,9459.00
