Aplicativo, Bsize_X, Bsize_Y, Resultado Médio, Desvio Padrão, IC Inferior, IC Superior
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 16, 454.70, .45, 454.38, 455.02
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 8, 862.70, .90, 862.06, 863.34
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 4, 1482.10, 4.90, 1478.60, 1485.60
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 32, 455.00, 4.02, 452.13, 457.87
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 16, 865.40, .91, 864.75, 866.05
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 8, 1459.20, 3.31, 1456.84, 1461.56
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 4, 1631.20, 4.09, 1628.28, 1634.12
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 48, 304.00, .44, 303.69, 304.31
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 24, 589.20, .40, 588.92, 589.48
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 12, 1046.40, 2.24, 1044.80, 1048.00
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 6, 1169.50, 1.85, 1168.18, 1170.82
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 48, 4, 1163.30, 1.73, 1162.07, 1164.53
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 24, 8, 1061.20, 2.27, 1059.58, 1062.82
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 12, 16, 749.60, .91, 748.95, 750.25
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 6, 32, 403.00, 0, 403.00, 403.00
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 64, 0, 0, 0, 0
