Aplicativo,Tamanho,Resultado Médio,Desvio Padrão,IC Inferior,IC Superior
original.CUDA.blaise.x,88,497.00,0,,
original.CUDA.blaise.x,120,701.00,0,,
original.CUDA.blaise.x,152,553.00,0,,
original.CUDA.blaise.x,184,739.00,0,,
original.CUDA.blaise.x,216,663.00,0,,
original.CUDA.blaise.x,248,773.00,0,,
original.CUDA.blaise.x,280,727.00,0,,
original.CUDA.blaise.x,312,715.00,0,,
original.CUDA.blaise.x,344,708.00,0,,
original.CUDA.blaise.x,376,711.00,0,,
original.CUDA.blaise.x,408,742.00,0,,
original.CUDA.blaise.x,440,713.00,0,,
original.CUDA.blaise.x,472,724.00,0,,
original.CUDA.blaise.x,504,720.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,88,1136.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,120,1167.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,152,1047.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,184,1303.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,216,1262.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,248,1541.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,280,1481.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,312,1454.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,344,1417.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,376,1427.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,408,1408.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,440,1348.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,472,1329.00,0,,
original_mgpu_2_p2p_PDP_FIX.CUDA.blaise.x,504,1290.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,88,975.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,120,1401.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,152,1378.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,184,1752.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,216,1778.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,248,2149.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,280,2275.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,312,2342.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,344,2385.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,376,2454.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,408,2614.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,440,2565.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,472,2644.00,0,,
original_mgpu_4_p2p_PDP_FIX.CUDA.blaise.x,504,2662.00,0,,
